Iteration,Timestep,FlowGroupID,FlowMultiplierTypeID,MultiplierFileName
,2002,Net Growth Forest: Total,,historical.growth_2002.tif
,2002,Q10 Fast Flows,,historical.q10fast_2002.tif
,2002,Q10 Slow Flows,,historical.q10slow_2002.tif
,2003,Net Growth Forest: Total,,historical.growth_2003.tif
,2003,Q10 Fast Flows,,historical.q10fast_2003.tif
,2003,Q10 Slow Flows,,historical.q10slow_2003.tif
,2004,Net Growth Forest: Total,,historical.growth_2004.tif
,2004,Q10 Fast Flows,,historical.q10fast_2004.tif
,2004,Q10 Slow Flows,,historical.q10slow_2004.tif
,2005,Net Growth Forest: Total,,historical.growth_2005.tif
,2005,Q10 Fast Flows,,historical.q10fast_2005.tif
,2005,Q10 Slow Flows,,historical.q10slow_2005.tif
,2006,Net Growth Forest: Total,,historical.growth_2006.tif
,2006,Q10 Fast Flows,,historical.q10fast_2006.tif
,2006,Q10 Slow Flows,,historical.q10slow_2006.tif
,2007,Net Growth Forest: Total,,historical.growth_2007.tif
,2007,Q10 Fast Flows,,historical.q10fast_2007.tif
,2007,Q10 Slow Flows,,historical.q10slow_2007.tif
,2008,Net Growth Forest: Total,,historical.growth_2008.tif
,2008,Q10 Fast Flows,,historical.q10fast_2008.tif
,2008,Q10 Slow Flows,,historical.q10slow_2008.tif
,2009,Net Growth Forest: Total,,historical.growth_2009.tif
,2009,Q10 Fast Flows,,historical.q10fast_2009.tif
,2009,Q10 Slow Flows,,historical.q10slow_2009.tif
,2010,Net Growth Forest: Total,,historical.growth_2010.tif
,2010,Q10 Fast Flows,,historical.q10fast_2010.tif
,2010,Q10 Slow Flows,,historical.q10slow_2010.tif
,2011,Net Growth Forest: Total,,historical.growth_2011.tif
,2011,Q10 Fast Flows,,historical.q10fast_2011.tif
,2011,Q10 Slow Flows,,historical.q10slow_2011.tif
,2012,Net Growth Forest: Total,,historical.growth_2012.tif
,2012,Q10 Fast Flows,,historical.q10fast_2012.tif
,2012,Q10 Slow Flows,,historical.q10slow_2012.tif
,2013,Net Growth Forest: Total,,historical.growth_2013.tif
,2013,Q10 Fast Flows,,historical.q10fast_2013.tif
,2013,Q10 Slow Flows,,historical.q10slow_2013.tif
,2014,Net Growth Forest: Total,,historical.growth_2014.tif
,2014,Q10 Fast Flows,,historical.q10fast_2014.tif
,2014,Q10 Slow Flows,,historical.q10slow_2014.tif
,2015,Net Growth Forest: Total,,historical.growth_2015.tif
,2015,Q10 Fast Flows,,historical.q10fast_2015.tif
,2015,Q10 Slow Flows,,historical.q10slow_2015.tif
,2016,Net Growth Forest: Total,,historical.growth_2016.tif
,2016,Q10 Fast Flows,,historical.q10fast_2016.tif
,2016,Q10 Slow Flows,,historical.q10slow_2016.tif
,2017,Net Growth Forest: Total,,historical.growth_2017.tif
,2017,Q10 Fast Flows,,historical.q10fast_2017.tif
,2017,Q10 Slow Flows,,historical.q10slow_2017.tif
,2018,Net Growth Forest: Total,,historical.growth_2018.tif
,2018,Q10 Fast Flows,,historical.q10fast_2018.tif
,2018,Q10 Slow Flows,,historical.q10slow_2018.tif
,2019,Net Growth Forest: Total,,historical.growth_2019.tif
,2019,Q10 Fast Flows,,historical.q10fast_2019.tif
,2019,Q10 Slow Flows,,historical.q10slow_2019.tif
,2020,Net Growth Forest: Total,,historical.growth_2020.tif
,2020,Q10 Fast Flows,,historical.q10fast_2020.tif
,2020,Q10 Slow Flows,,historical.q10slow_2020.tif
