Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Ag Contraction,,Ag Contraction,,,,
,2002,,,,Ag Expansion,,Ag Expansion,,,,
,2002,,,,Forest Harvest: Forest Selection 20% [Type],0.0000,,,,,
,2002,,,,Forest Harvest: Forest Selection 85% [Type],0.0000,,,,,
,2002,,,,Forest Harvest: Salvage Logging [Type],0.0000,,,,,
,2002,,,,Intensification,,Intensification,,,,
,2002,,,,Urbanization,,Urbanization,,,,
,2016,,,,Insect: High Severity [Type],0.0000,,,,,
,2016,,,,Insect: Low Severity [Type],0.0000,,,,,
,2016,,,,Insect: Medium Severity [Type],0.0000,,,,,
,2017,,,,Forest Harvest: Forest Clearcut [Type],,Forest Harvest: Forest Clearcut,,,,
,2017,,,,Forest Harvest: Forest Selection [Type],,Forest Harvest: Forest Selection,,,,
,2021,,,,Fire,,Fire,,,,
